time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.54078880113e-08,-7.75355188954e-08,10.002360464,6.28304121486,6.28300866888,0.0,1.08183125731e-05,-9.21822546066e-06,0.0786792851624,-0.00769890369254,-0.00960036774175,0.0,430.43782577531357,429.62481194389466,430.4588866675492,429.8070568113663
0.12000000000000001,7.28963168591e-06,-5.96668798121e-06,10.012563746,6.28255201096,6.28204819628,0.0,0.000311597803917,-0.000241404478621,0.261405264443,-0.00907826356438,-0.0336362683289,0.0,462.8338146903542,460.93859615591583,463.00692059915934,462.8985273225674
0.18,5.50938156601e-05,-3.43052730962e-05,10.0298184391,6.28227641187,6.27971191297,0.0,0.00148576710778,-0.000740969289426,0.313737395046,0.00313408595986,-0.0525052605427,0.0,423.0515100404038,421.42300324030094,420.4081750173419,421.46489710418575
0.23999999999999996,0.000233315712441,-9.82265289131e-05,10.0532469712,6.28245940087,6.27737478504,0.0,0.00474692050498,-0.00136930092664,0.46716158194,0.00288073191215,-0.0204269811034,0.0,452.22152525045436,454.79670958046563,453.82459946533567,453.80420540588653
0.3,0.000636467684531,-0.00019360331252,10.0832046654,6.28298380706,6.27595757636,0.0,0.0088182140468,-0.00177423893423,0.531399305641,0.0184412734155,-0.0309237980625,0.0,426.16527427895085,425.267138271478,424.91276092972157,426.2443432777963
0.36000000000000004,0.00134052205428,-0.000298662208961,10.1206005114,0.00173344905735,6.27446981836,0.0,0.0148382344773,-0.0015436599466,0.715030068931,0.051017747855,-0.0147276861278,0.0,462.16326244024225,463.4377467866261,461.92239242229317,464.4841541549601
0.4200000000000001,0.00240878671498,-0.000345255792817,10.1658868683,0.00465513190081,6.27357360883,0.0,0.0208581693366,0.000286897369848,0.794461238691,0.0435906637728,-0.0153584011733,0.0,431.5934665332069,431.5403346950633,430.49260085763206,429.86531508305757
0.48000000000000015,0.00382836710957,-0.000239698146414,10.2131001549,0.00708759005213,6.27288893358,0.0,0.0265286450403,0.00344687874047,0.779323658447,0.0336139411044,-0.00449969235946,0.0,399.92207486428873,400.9098835317913,398.78194905498117,397.8707525734729
0.5400000000000001,0.00566083828788,0.000141292087199,10.2654713868,0.00952844409202,6.27223161181,0.0,0.034599850467,0.00951101100726,0.966241906957,0.0519958559473,-0.0287786651233,0.0,464.93709289040083,463.0313231829633,463.931644180291,465.37326703180713
0.6000000000000002,0.00799428236002,0.000943139922857,10.3286588982,0.0126987161349,6.27081950293,0.0,0.043355121891,0.0175707514753,1.13984533846,0.0544702480247,-0.0147007935578,0.0,460.2869931046359,461.3995569987424,460.34065233852846,460.538103728018
0.6600000000000003,0.01084198362,0.00225891562256,10.3990550578,0.0157949253046,6.26958308177,0.0,0.0516663782732,0.0265971395978,1.20661910865,0.0451480566544,-0.0363088545805,0.0,428.46526115812014,426.62438270037205,428.02076175393404,427.22855978640973
0.7200000000000003,0.014234789726,0.00419540409222,10.4746990876,0.0184440964339,6.267355517,0.0,0.0616527390815,0.0382270103335,1.31472180412,0.0420848664858,-0.038812359464,0.0,441.0667968574029,440.85935387090717,441.1201072500221,440.86823107271425
0.7800000000000004,0.0182990288847,0.00691474239524,10.5584148116,0.0212684653386,6.26552511972,0.0,0.0740453604003,0.052712374836,1.47559816138,0.0555376818922,-0.0176351088737,0.0,457.0126149427782,458.6969333599006,456.7797229368638,457.8524138629852
0.8400000000000004,0.0231078957744,0.010526773147,10.6497930916,0.0250823513759,6.26415006401,0.0,0.0863679339609,0.0680509134398,1.57020775245,0.0760919257466,-0.0364223931794,0.0,437.93125682204453,436.36577710367936,436.8743837827895,438.587610990888
0.9000000000000005,0.0286836461095,0.0151349293304,10.7465945414,0.0292204156856,6.26192023517,0.0,0.0997085166452,0.0859922873044,1.65636860336,0.0482853393195,-0.0386891092963,0.0,435.9150380148562,435.7249194790784,435.45112773663845,433.12248806260163
0.9600000000000005,0.0351242439464,0.0209234684644,10.8494503664,0.0321989621594,6.25998945664,0.0,0.115193366011,0.107260031807,1.77197068495,0.0522263000988,-0.0215973959998,0.0,443.5267601062245,444.9277318795649,444.94972334829794,445.2737512787357
1.0200000000000005,0.0425139746742,0.0280289535203,10.9585429993,0.0353356078015,6.25933128357,0.0,0.131219971583,0.129900424357,1.864289266,0.0523794483635,0.00457670378764,0.0,436.8044611005462,438.98170393188195,437.56440650202165,437.5789759543935
1.0800000000000005,0.0508485827244,0.0365195361994,11.072121708,0.0388400741076,6.25928818527,0.0,0.146583543103,0.153435112714,1.92155920119,0.0683376898204,-0.0142686275305,0.0,427.12218491600333,425.5120582138617,426.5908516094507,427.9537478041187
1.1400000000000006,0.0602111375994,0.0466607311535,11.1933407729,0.043595809769,6.25818346179,0.0,0.165604957029,0.185112492064,2.11870404779,0.095122339963,-0.0283508017133,0.0,471.32170603014004,470.2322118453964,469.1229746192226,471.2024696779533
1.2000000000000006,0.0707366258114,0.0588068746271,11.3260749494,0.04933202571,6.25604170546,0.0,0.185447637026,0.220398821918,2.3053697124,0.0965484500916,-0.0574264459311,0.0,469.59963947433926,467.33823846180593,467.76459602517485,467.8829160173113
1.2600000000000007,0.0824435097977,0.0730831855555,11.4676114444,0.0549992713684,6.25270266431,0.0,0.205124746269,0.25605611604,2.412246384,0.0899003947654,-0.0523180104633,0.0,443.54007167164883,443.95729415328145,445.75008328585125,445.21402435618
